feature,label,rho,p,auc,n
fit_score,fit hole,-0.07733122688269095,0.4637464383196399,0.4186761229314421,92
crowding_score,crowding,-0.0696112543332786,0.5096651649316394,0.4151300236406619,92
decoy_sim_max,max decoy redundancy,0.004723978623524829,0.9643531824054611,0.5527186761229315,92
blocker_mpg,blocker mpg,0.023110738622993104,0.8269080677725734,0.44964539007092197,92
redundancy,network redundancy,0.004723978623524829,0.9643531824054611,0.5527186761229315,92
n_dest_inc,# dest incumbents,-0.013758415993179684,0.8964335865055939,0.4851063829787234,92
partner_avail,partner avail (arrival),-0.13432128451555916,0.20176370949653336,0.42836879432624114,92
partner_avail_prev,partner avail (prior),-0.12645686732626454,0.25462597897284084,0.43089430894308944,83
menu_sim,generic menu sim,0.020521949550483882,0.8460437639210634,0.5423167848699764,92
P_n_shap,# shapers prior,-0.11714327327490913,0.2661080223566094,0.43049645390070923,92
P_has_shap,any shaper prior,0.023822332797004523,0.8216652978867852,0.5144208037825059,92
P_shap_mpg_sum,shaper mpg sum prior,-0.09109119934560257,0.3878256219220782,0.4460992907801418,92
P_shap_mpg_max,top shaper mpg prior,0.05045381568977003,0.6329180682744687,0.5033096926713948,92
P_shap_mpg_share,shaper mpg share prior,-0.04652090860461459,0.6762218369370546,0.4639953542392567,83
P_share_shap,shaper roster share prior,-0.05061769208682679,0.6495071343457954,0.4529616724738676,83
P_n_org,# organizers prior,0.031373573189189534,0.7665555365119989,0.5274231678486998,92
P_has_org,any organizer prior,-0.04865546388386677,0.6451007443307192,0.4806146572104019,92
P_org_load_max,top org load prior,0.10029772056257862,0.34146732420958353,0.5290780141843971,92
P_org_usg_max,top org usg prior,0.023976530579291014,0.8205302472612223,0.5278959810874705,92
P_org_mpg_sum,org mpg sum prior,0.023722859550210827,0.8223977159177154,0.5200945626477541,92
P_share_org,organizer roster share prior,0.11151575159327268,0.3155309580896802,0.5499419279907085,83
P_n_term,# terminals prior,-0.060213526087430955,0.5685630972826107,0.4879432624113475,92
