key,tri,yy,player_id,player,u,Lcos,Lfrob,abbrev,season,full_name,gp,mpg,ppg,apg,usg_pct,ast_pct,net_rating,touches,front_ct_touches,position,u_resid
ATL_22,ATL,22,1626163,F. Kaminsky,0.006269592476489,0.0015081834016659,40.67626513767633,F. Kaminsky,,,,,,,,,,,,Forward-Center,-0.0097236550627644
ATL_22,ATL,22,1627749,D. Murray,0.1676489028213166,0.010706957909716,92.22587497086802,D. Murray,2022-23,Dejounte Murray,74.0,36.4,20.5,6.1,0.239,0.239,-1.1,72.6,28.6,G,-0.04407505843579325
ATL_22,ATL,22,1628381,J. Collins,0.0934169278996865,0.0049202798553912,84.88201318325237,J. Collins,2022-23,John Collins,71.0,30.0,13.1,1.2,0.168,0.052,-0.2,42.7,21.5,F-C,-0.01813348700564671
ATL_22,ATL,22,1628988,A. Holiday,0.0278369905956112,0.0008648705742956,20.285621170821216,A. Holiday,2022-23,Aaron Holiday,63.0,13.4,3.9,1.4,0.129,0.135,0.9,20.5,8.0,G,-0.01073553841207138
ATL_22,ATL,22,1629027,T. Young,0.2278369905956112,0.0708866629064773,208.48801984617032,T. Young,2022-23,Trae Young,73.0,34.8,26.2,10.2,0.313,0.414,1.3,80.3,24.6,G,-0.02424815758477096
ATL_22,ATL,22,1629631,D. Hunter,0.1092163009404388,0.0131568914564661,76.50987919980672,D. Hunter,2022-23,De'Andre Hunter,67.0,31.7,15.4,1.4,0.193,0.059,-0.6,38.0,23.7,F-G,-0.014980750588865532
ATL_22,ATL,22,1630168,O. Okongwu,0.0600626959247648,0.0066684578061563,54.150361277581695,O. Okongwu,2022-23,Onyeka Okongwu,80.0,23.1,9.9,1.0,0.15,0.06,1.8,29.4,15.8,F-C,-0.00861678314657953
ATL_22,ATL,22,1630180,S. Bey,0.0265830721003134,0.0017993170953491,28.88363779561327,S. Bey,2022-23,Saddiq Bey,77.0,27.6,13.8,1.5,0.194,0.08,-3.1,36.8,23.9,F,-0.009733612264056472
ATL_22,ATL,22,1630235,T. Forrest,0.0082758620689655,0.0033471927963141,50.23777778406326,T. Forrest,2022-23,Trent Forrest,23.0,12.0,2.3,1.7,0.116,0.186,-10.1,20.5,7.3,G,-0.007847978479435759
ATL_22,ATL,22,1630552,J. Johnson,0.0418808777429467,0.0049388680914821,46.416522073005694,J. Johnson,2022-23,Jalen Johnson,70.0,14.9,5.6,1.2,0.156,0.106,0.3,22.5,9.3,F,-0.007805733916265178
ATL_22,ATL,22,1631100,A. Griffin,0.0653291536050156,0.0023907735713025,43.99717021542242,A. Griffin,2022-23,AJ Griffin,72.0,19.5,8.9,1.0,0.174,0.07,1.5,21.1,14.2,F,-0.013853639188239293
ATL_22,ATL,22,203200,J. Holiday,0.0149216300940438,0.0042629378985293,55.89354516178474,J. Holiday,,,,,,,,,,,,Guard,-0.006914729427586278
ATL_22,ATL,22,203991,C. Capela,0.0550470219435736,0.0217328255293547,172.5735649509832,C. Capela,2022-23,Clint Capela,65.0,26.6,12.0,0.9,0.151,0.045,-1.1,37.0,18.0,C,0.007267842254592273
ATL_22,ATL,22,203992,B. Bogdanović,0.0762382445141065,0.0045077015343691,46.29071697469633,B. Bogdanović,2022-23,Bogdan Bogdanović,54.0,27.9,14.0,2.8,0.196,0.134,1.2,40.5,25.0,G,-0.014042598955035276
BKN_22,BKN,22,1626220,R. O'Neale,0.0757169659608684,0.0180531925008067,113.38620480796315,R. O'Neale,2022-23,Royce O'Neale,76.0,31.7,8.8,3.7,0.136,0.155,2.1,61.0,27.5,F,-0.0003771338065940745
BKN_22,BKN,22,1627732,B. Simmons,0.0356472795497185,0.0066361634975805,79.29882788374319,B. Simmons,2022-23,Ben Simmons,42.0,26.3,6.9,6.1,0.142,0.295,2.1,61.4,21.5,G-F,-0.005512548375733312
BKN_22,BKN,22,1627827,D. Finney-Smith,0.0241222192441704,0.0046460642450737,57.62855091359599,D. Finney-Smith,2022-23,Dorian Finney-Smith,66.0,30.4,8.3,1.5,0.129,0.07,-0.3,37.7,22.2,F,-0.0067709616984371395
BKN_22,BKN,22,1628410,E. Sumner,0.0442240686143125,0.0039573451614657,54.968185725428015,E. Sumner,2022-23,Edmond Sumner,53.0,13.9,7.1,1.3,0.209,0.13,1.7,23.4,11.0,G,-0.009047584633023905
BKN_22,BKN,22,1628969,M. Bridges,0.0790672741892254,0.010105564729579,83.55687087620977,M. Bridges,2022-23,Mikal Bridges,83.0,35.7,20.1,3.3,0.223,0.141,0.8,51.3,31.5,G-F,-0.009112983346872808
BKN_22,BKN,22,1629139,Y. Watanabe,0.0316269096756901,0.0048789511055002,59.66248483056076,Y. Watanabe,2022-23,Yuta Watanabe,58.0,16.0,5.6,0.8,0.127,0.071,-0.6,17.0,10.0,G-F,-0.006959972684162548
BKN_22,BKN,22,1629651,N. Claxton,0.0865719646207451,0.0845240026860323,259.10591256537424,N. Claxton,2022-23,Nic Claxton,76.0,29.9,12.6,1.9,0.155,0.091,3.7,41.4,23.4,C,0.06339255607121158
BKN_22,BKN,22,1629661,C. Johnson,0.0448941302599839,0.0047155941971662,62.7369967809616,C. Johnson,2022-23,Cameron Johnson,42.0,28.6,15.5,1.9,0.202,0.099,6.6,39.5,25.6,F,-0.008367429609323254
BKN_22,BKN,22,1630549,D. Sharpe,0.0175556151165907,0.0048955549041206,58.299832916608445,D. Sharpe,2022-23,Day'Ron Sharpe,48.0,11.5,4.7,0.8,0.173,0.099,-8.8,18.8,11.4,C,-0.0063193661418090704
BKN_22,BKN,22,1630560,C. Thomas,0.0711605467703028,0.0069187984760278,70.0228532400765,C. Thomas,2022-23,Cam Thomas,57.0,16.6,10.6,1.4,0.268,0.133,-1.6,28.9,13.4,G,-0.010504680097166243
BKN_22,BKN,22,1630561,D. Duke Jr.,0.0104529616724738,0.0076418267370924,73.23589799337174,D. Duke Jr.,2022-23,David Duke Jr.,23.0,9.9,3.7,0.9,0.187,0.145,-6.3,13.9,6.8,G,-0.0035300213166889853
BKN_22,BKN,22,201142,K. Durant,0.1147145537389439,0.019137143854796,147.4218276958866,K. Durant,,,,,,,,,,,,Forward,-0.01098142007218432
BKN_22,BKN,22,201988,P. Mills,0.0297507370678102,0.0031860539847441,54.20174094751592,P. Mills,2022-23,Patty Mills,40.0,14.2,6.2,1.4,0.182,0.136,-5.8,19.9,10.6,G,-0.008528303261346187
BKN_22,BKN,22,202681,K. Irving,0.1165907263468239,0.0090198897669976,79.97590113223774,K. Irving,,,,,,,,,,,,Guard,-0.021799639751643975
BKN_22,BKN,22,202693,M. Morris,0.0104529616724738,0.0030896617499313,46.29791630478045,M. Morris,,,,,,,,,,,,Forward,-0.008082186303850086
BKN_22,BKN,22,203552,S. Curry,0.0613776467435004,0.0036768624664019,75.60065798472989,S. Curry,2022-23,Seth Curry,61.0,19.8,9.2,1.6,0.188,0.121,-3.5,32.2,18.0,G,-0.011838474272615359
BKN_22,BKN,22,203915,S. Dinwiddie,0.0528008576789064,0.0084126637667025,79.10712513711105,S. Dinwiddie,2022-23,Spencer Dinwiddie,79.0,34.5,17.3,6.5,0.22,0.297,-0.1,69.0,26.1,G,-0.005714474316354913
BKN_22,BKN,22,203925,J. Harris,0.0568212275529348,0.0074231198577927,82.76751178668545,J. Harris,2022-23,Joe Harris,74.0,20.6,7.6,1.4,0.141,0.091,-1.0,21.8,15.7,G-F,-0.007321617427430958
BKN_22,BKN,22,203933,T. Warren,0.0276065398016617,0.0041946372056728,55.06616545021858,T. Warren,,,,,,,,,,,,Forward,-0.007392943649424046
BOS_22,BOS,22,1627759,J. Brown,0.1978630278063851,0.023327897835192,79.00455100990808,J. Brown,2022-23,Jaylen Brown,67.0,35.9,26.6,3.5,0.307,0.163,5.4,64.0,34.8,G-F,-0.05007368169026341
BOS_22,BOS,22,1627763,M. Brogdon,0.1026004119464469,0.0111371039908836,58.32788516296102,M. Brogdon,2022-23,Malcolm Brogdon,67.0,26.0,14.9,3.7,0.223,0.223,5.1,53.1,21.7,G,-0.014761851538100359
BOS_22,BOS,22,1628369,J. Tatum,0.2336508753861998,0.0094131661251301,65.41622559207832,J. Tatum,2022-23,Jayson Tatum,74.0,36.9,30.1,4.6,0.319,0.205,8.5,74.9,39.2,F-G,-0.0903133053683506
BOS_22,BOS,22,1628401,D. White,0.1083934088568486,0.0009081060100917,19.559398998318198,D. White,2022-23,Derrick White,82.0,28.3,12.4,3.9,0.174,0.191,11.0,47.6,20.3,G,-0.026942467044551895
BOS_22,BOS,22,1628436,L. Kornet,0.0176364572605561,0.0084530116560149,96.0987377363298,L. Kornet,2022-23,Luke Kornet,69.0,11.7,3.8,0.8,0.111,0.093,3.9,12.9,8.0,C-F,-0.0027634495745741967
BOS_22,BOS,22,1629057,R. Williams III,0.0167353244078269,0.0159152369930698,114.59831582807858,R. Williams III,2022-23,Robert Williams III,35.0,23.5,8.0,1.4,0.113,0.086,11.4,31.3,18.5,C-F,0.004714607503811705
BOS_22,BOS,22,1629684,G. Williams,0.0634654994850669,0.0022174347105456,51.263074915850304,G. Williams,2022-23,Grant Williams,79.0,25.9,8.1,1.7,0.128,0.086,5.9,29.7,16.3,F,-0.013676088216163918
BOS_22,BOS,22,1630202,P. Pritchard,0.029351184346035,0.0024202760266588,27.450929491172037,P. Pritchard,2022-23,Payton Pritchard,48.0,13.4,5.6,1.3,0.193,0.153,1.4,24.2,11.0,G,-0.009269197247830752
BOS_22,BOS,22,1630573,S. Hauser,0.0481462409886714,0.0107844483697755,54.52354149824815,S. Hauser,2022-23,Sam Hauser,80.0,16.1,6.4,0.9,0.141,0.076,7.7,19.1,11.0,F,-0.002700661840261529
BOS_22,BOS,22,201143,A. Horford,0.0588311019567456,0.0127659351344413,67.81626636367744,A. Horford,2022-23,Al Horford,63.0,30.5,9.8,3.0,0.119,0.128,7.8,45.7,25.4,C-F,-0.002309466465308928
BOS_22,BOS,22,201933,B. Griffin,0.0175077239958805,0.0038881240133887,34.50456607079376,B. Griffin,2022-23,Blake Griffin,41.0,13.9,4.1,1.5,0.125,0.142,9.9,20.5,12.4,F,-0.007325895769017477
BOS_22,BOS,22,203488,M. Muscala,0.0111997940267765,0.000711141125313,14.10018404737797,M. Muscala,2022-23,Mike Muscala,63.0,15.0,6.1,0.8,0.146,0.069,8.8,25.7,12.9,F-C,-0.010456654126514014
BOS_22,BOS,22,203935,M. Smart,0.0848352214212152,0.0008256250038896,45.983180647220834,M. Smart,2022-23,Marcus Smart,61.0,32.1,11.5,6.3,0.176,0.256,6.3,59.6,25.5,G,-0.01984502562038393
CHA_22,CHA,22,1626162,K. Oubre Jr.,0.115439184831678,0.0026642607519252,44.57228670005276,K. Oubre Jr.,2022-23,Kelly Oubre Jr.,48.0,32.2,20.3,1.1,0.257,0.057,-7.7,44.7,31.8,F-G,-0.027723527343677043
CHA_22,CHA,22,1626179,T. Rozier,0.1543918483167806,0.0164805600026649,93.78361504048468,T. Rozier,2022-23,Terry Rozier,63.0,35.3,21.1,5.1,0.262,0.22,-6.2,75.2,35.9,G,-0.031173670139254872
CHA_22,CHA,22,1628372,D. Smith Jr.,0.0653940410163807,0.0040097799032392,67.26121036407928,D. Smith Jr.,2022-23,Dennis Smith Jr.,54.0,25.7,8.8,4.8,0.175,0.275,-2.6,53.9,22.8,G,-0.012247076137544818
CHA_22,CHA,22,1629004,S. Mykhailiuk,0.0211531020250225,0.0030574868507824,63.5397504931989,S. Mykhailiuk,2022-23,Svi Mykhailiuk,32.0,14.6,6.9,1.7,0.191,0.167,1.0,19.7,13.2,G-F,-0.00824884516012088
CHA_22,CHA,22,1629023,P. Washington,0.1307880820327615,0.0029121961507091,41.887260485037615,P. Washington,2022-23,P.J. Washington,73.0,32.6,15.7,2.4,0.2,0.107,-7.2,57.0,30.4,F,-0.03362425070766192
CHA_22,CHA,22,1629667,J. McDaniels,0.070037404875532,0.0099923872898978,75.22441075265527,J. McDaniels,,,,,,,,,,,,Forward,-0.007194439556817938
CHA_22,CHA,22,1630163,L. Ball,0.0913194892299754,0.0097288277916492,71.60060195289044,L. Ball,2022-23,LaMelo Ball,36.0,35.2,23.3,8.4,0.289,0.352,-4.7,90.2,29.9,G,-0.012717897369291197
CHA_22,CHA,22,1630177,T. Maledon,0.0367599638849477,0.0050827353751501,54.27991176525895,T. Maledon,2022-23,Theo Maledon,44.0,19.4,6.7,3.5,0.166,0.247,-8.9,47.3,16.8,G,-0.007162040021105825
CHA_22,CHA,22,1630208,N. Richards,0.0366309815555268,0.0053262002999949,64.99485029655395,N. Richards,2022-23,Nick Richards,65.0,18.7,8.2,0.6,0.151,0.046,-4.5,24.2,12.5,C,-0.006907210022989012
CHA_22,CHA,22,1630539,K. Jones,0.015735844189346,0.0069575575121345,151.64791646106082,K. Jones,2022-23,Kai Jones,46.0,11.9,3.4,0.3,0.121,0.041,-3.1,13.7,7.2,C-F,-0.004228946827125479
CHA_22,CHA,22,1630547,J. Bouknight,0.0259254482135947,0.0033365002031787,110.3949085546134,J. Bouknight,2022-23,James Bouknight,34.0,15.2,5.6,1.2,0.192,0.117,-8.3,22.4,13.1,G,-0.008163311855753782
CHA_22,CHA,22,1630550,J. Thor,0.030568812072746,0.0035242064450892,60.79564658092784,J. Thor,2022-23,JT Thor,69.0,14.0,3.8,0.5,0.13,0.054,-7.5,19.3,9.9,F,-0.008242901079023826
CHA_22,CHA,22,1631109,M. Williams,0.0274732361666451,0.0073961197795138,65.73223818688399,M. Williams,2022-23,Mark Williams,43.0,19.3,9.0,0.4,0.168,0.033,-4.7,22.3,12.3,C,-0.004184128345057277
CHA_22,CHA,22,1631121,B. McGowens,0.0317296530375338,0.0037383192215025,55.68539726560339,B. McGowens,2022-23,Bryce McGowens,46.0,17.1,5.3,1.2,0.147,0.098,-9.7,19.0,12.5,G,-0.008107793700904763
CHA_22,CHA,22,202330,G. Hayward,0.081903779182252,0.0101156150509629,101.47559247168438,G. Hayward,2022-23,Gordon Hayward,50.0,31.5,14.7,4.1,0.196,0.187,-3.3,49.0,35.4,F,-0.009802000696890528
CHA_22,CHA,22,203486,M. Plumlee,0.0570101896040242,0.0118561001559058,85.18277039338814,M. Plumlee,,,,,,,,,,,,Guard,-0.002919103059536335
CHI_22,CHI,22,1627884,D. Jones Jr.,0.0304709141274238,0.0245251572204221,90.59393257352212,D. Jones Jr.,2022-23,Derrick Jones Jr.,64.0,14.0,5.0,0.5,0.138,0.052,6.7,17.9,9.5,F,0.012764489719217514
CHI_22,CHI,22,1627936,A. Caruso,0.039572615749901,0.0088681484186753,49.44405521657187,A. Caruso,2022-23,Alex Caruso,67.0,23.5,5.6,2.9,0.109,0.155,6.1,42.1,17.3,G,-0.003639417938440106
CHI_22,CHI,22,1629632,C. White,0.0838939453897902,0.0139097129629764,72.37726824725516,C. White,2022-23,Coby White,74.0,23.4,9.7,2.8,0.17,0.159,4.0,38.4,18.6,G,-0.006515753924309123
CHI_22,CHI,22,1629750,J. Green,0.014509959108297,0.0068999576911445,43.6304960604509,J. Green,2022-23,Javonte Green,32.0,15.0,5.2,0.7,0.128,0.062,5.9,21.8,10.8,G,-0.0042741539965464445
CHI_22,CHI,22,1630172,P. Williams,0.0903574726289407,0.0044468150078464,44.86242522108456,P. Williams,2022-23,Patrick Williams,82.0,28.3,10.2,1.2,0.156,0.059,-2.4,38.6,19.3,F,-0.017726804093082468
CHI_22,CHI,22,1630245,A. Dosunmu,0.0804643186914655,0.0109263868107211,67.04984609677678,A. Dosunmu,2022-23,Ayo Dosunmu,80.0,26.2,8.6,2.6,0.145,0.135,-1.3,42.7,16.6,G,-0.008632832538518717
CHI_22,CHI,22,1631207,D. Terry,0.0092336103416435,0.0067324141563326,43.98053493883658,D. Terry,2022-23,Dalen Terry,38.0,5.6,2.2,0.6,0.173,0.157,3.3,8.4,4.2,F,-0.004450385401056244
CHI_22,CHI,22,201609,G. Dragic,0.0437936947632238,0.0042755325785921,37.78106686710431,G. Dragic,,,,,,,,,,,,Guard,-0.008680094460757666
CHI_22,CHI,22,201942,D. DeRozan,0.1937739084553489,0.1139124541919853,185.9845334309036,D. DeRozan,2022-23,DeMar DeRozan,74.0,36.2,24.5,5.1,0.272,0.222,1.5,59.4,36.0,G-F,0.04322394935337437
CHI_22,CHI,22,201976,P. Beverley,0.0176757683682891,0.0042887047601629,34.78556824376335,P. Beverley,2022-23,Patrick Beverley,67.0,27.1,6.2,2.9,0.107,0.137,-1.5,39.7,16.9,G,-0.006928513955584632
CHI_22,CHI,22,202696,N. Vučević,0.1561799234929428,0.0389345693947528,102.68396495738912,N. Vučević,2022-23,Nikola Vučević,82.0,33.5,17.6,3.2,0.218,0.146,-0.5,66.3,45.1,C,-0.009643960662017434
CHI_22,CHI,22,203083,A. Drummond,0.0309985490040891,0.0461753009675945,111.66716792101842,A. Drummond,2022-23,Andre Drummond,67.0,12.7,6.0,0.5,0.196,0.057,2.6,17.2,10.5,C,0.03437951410631715
CHI_22,CHI,22,203897,Z. LaVine,0.2024798839203271,0.0393606206821111,104.20120393562264,Z. LaVine,2022-23,Zach LaVine,77.0,35.9,24.8,4.2,0.278,0.187,0.3,61.9,32.4,G,-0.03717684882043269
