tri,yy,season,full_name,position,abbrev
ATL,22,2022-23,Donovan Williams,G,D. Williams
ATL,22,2022-23,Bruno Fernando,F-C,B. Fernando
ATL,22,2022-23,Jalen Johnson,F,J. Johnson
ATL,22,2022-23,Trent Forrest,G,T. Forrest
ATL,22,2022-23,Aaron Holiday,G,A. Holiday
ATL,22,2022-23,Dejounte Murray,G,D. Murray
ATL,22,2022-23,Trae Young,G,T. Young
ATL,22,2022-23,De'Andre Hunter,F-G,D. Hunter
ATL,22,2022-23,Bogdan Bogdanović,G,B. Bogdanović
ATL,22,2022-23,AJ Griffin,F,A. Griffin
ATL,22,2022-23,Clint Capela,C,C. Capela
ATL,22,2022-23,Onyeka Okongwu,F-C,O. Okongwu
ATL,22,2022-23,John Collins,F-C,J. Collins
ATL,22,2022-23,Tyrese Martin,G,T. Martin
ATL,22,2022-23,Garrison Mathews,G,G. Mathews
ATL,22,2022-23,Vít Krejčí,G,V. Krejčí
ATL,22,2022-23,Saddiq Bey,F,S. Bey
BKN,22,2022-23,Royce O'Neale,F,R. O'Neale
BKN,22,2022-23,RaiQuan Gray,F,R. Gray
BKN,22,2022-23,Mikal Bridges,G-F,M. Bridges
BKN,22,2022-23,Cameron Johnson,F,C. Johnson
BKN,22,2022-23,Edmond Sumner,G,E. Sumner
BKN,22,2022-23,David Duke Jr.,G,D. Duke Jr.
BKN,22,2022-23,Patty Mills,G,P. Mills
BKN,22,2022-23,Dru Smith,G,D. Smith
BKN,22,2022-23,Ben Simmons,G-F,B. Simmons
BKN,22,2022-23,Joe Harris,G-F,J. Harris
BKN,22,2022-23,Yuta Watanabe,G-F,Y. Watanabe
BKN,22,2022-23,Day'Ron Sharpe,C,D. Sharpe
BKN,22,2022-23,Cam Thomas,G,C. Thomas
BKN,22,2022-23,Spencer Dinwiddie,G,S. Dinwiddie
BKN,22,2022-23,Dorian Finney-Smith,F,D. Finney-Smith
BKN,22,2022-23,Seth Curry,G,S. Curry
BKN,22,2022-23,Nic Claxton,C,N. Claxton
BOS,22,2022-23,Jayson Tatum,F-G,J. Tatum
BOS,22,2022-23,Jaylen Brown,G-F,J. Brown
BOS,22,2022-23,Danilo Gallinari,F,D. Gallinari
BOS,22,2022-23,Derrick White,G,D. White
BOS,22,2022-23,Payton Pritchard,G,P. Pritchard
BOS,22,2022-23,Grant Williams,F,G. Williams
BOS,22,2022-23,Malcolm Brogdon,G,M. Brogdon
BOS,22,2022-23,JD Davison,G,J. Davison
BOS,22,2022-23,Mfiondu Kabengele,C,M. Kabengele
BOS,22,2022-23,Sam Hauser,F,S. Hauser
BOS,22,2022-23,Marcus Smart,G,M. Smart
BOS,22,2022-23,Luke Kornet,C-F,L. Kornet
BOS,22,2022-23,Al Horford,C-F,A. Horford
BOS,22,2022-23,Robert Williams III,C-F,R. Williams III
BOS,22,2022-23,Mike Muscala,F-C,M. Muscala
BOS,22,2022-23,Blake Griffin,F,B. Griffin
BOS,22,2022-23,Justin Champagnie,G-F,J. Champagnie
CHA,22,2022-23,LaMelo Ball,G,L. Ball
CHA,22,2022-23,James Bouknight,G,J. Bouknight
CHA,22,2022-23,Terry Rozier,G,T. Rozier
CHA,22,2022-23,Nick Richards,C,N. Richards
CHA,22,2022-23,Mark Williams,C,M. Williams
CHA,22,2022-23,Bryce McGowens,G,B. McGowens
CHA,22,2022-23,Dennis Smith Jr.,G,D. Smith Jr.
CHA,22,2022-23,Theo Maledon,G,T. Maledon
CHA,22,2022-23,Cody Martin,F,C. Martin
CHA,22,2022-23,Kelly Oubre Jr.,F-G,K. Oubre Jr.
CHA,22,2022-23,Svi Mykhailiuk,G-F,S. Mykhailiuk
CHA,22,2022-23,Xavier Sneed,F,X. Sneed
CHA,22,2022-23,Gordon Hayward,F,G. Hayward
CHA,22,2022-23,JT Thor,F,J. Thor
CHA,22,2022-23,Kai Jones,C-F,K. Jones
CHA,22,2022-23,Kobi Simmons,G,K. Simmons
CHA,22,2022-23,P.J. Washington,F,P. Washington
CHI,22,2022-23,Coby White,G,C. White
CHI,22,2022-23,Lonzo Ball,G,L. Ball
CHI,22,2022-23,Andre Drummond,C,A. Drummond
CHI,22,2022-23,Derrick Jones Jr.,F,D. Jones Jr.
CHI,22,2022-23,Alex Caruso,G,A. Caruso
CHI,22,2022-23,Zach LaVine,G,Z. LaVine
CHI,22,2022-23,Nikola Vučević,C,N. Vučević
CHI,22,2022-23,DeMar DeRozan,G-F,D. DeRozan
CHI,22,2022-23,Ayo Dosunmu,G,A. Dosunmu
CHI,22,2022-23,Marko Simonovic,C,M. Simonovic
CHI,22,2022-23,Patrick Beverley,G,P. Beverley
CHI,22,2022-23,Carlik Jones,G,C. Jones
CHI,22,2022-23,Javonte Green,G,J. Green
CHI,22,2022-23,Dalen Terry,F,D. Terry
CHI,22,2022-23,Terry Taylor,F,T. Taylor
CHI,22,2022-23,Justin Lewis,F,J. Lewis
CHI,22,2022-23,Patrick Williams,F,P. Williams
CLE,22,2022-23,Caris LeVert,G,C. LeVert
CLE,22,2022-23,Evan Mobley,C,E. Mobley
CLE,22,2022-23,Lamar Stevens,F,L. Stevens
CLE,22,2022-23,Dylan Windler,G-F,D. Windler
CLE,22,2022-23,Darius Garland,G,D. Garland
CLE,22,2022-23,Ricky Rubio,G,R. Rubio
CLE,22,2022-23,Danny Green,G,D. Green
CLE,22,2022-23,Isaiah Mobley,F,I. Mobley
CLE,22,2022-23,Cedi Osman,F,C. Osman
CLE,22,2022-23,Raul Neto,G,R. Neto
CLE,22,2022-23,Sam Merrill,G,S. Merrill
CLE,22,2022-23,Mamadi Diakite,F,M. Diakite
CLE,22,2022-23,Jarrett Allen,C,J. Allen
CLE,22,2022-23,Dean Wade,F-C,D. Wade
CLE,22,2022-23,Robin Lopez,C,R. Lopez
CLE,22,2022-23,Isaac Okoro,F-G,I. Okoro
CLE,22,2022-23,Donovan Mitchell,G,D. Mitchell
DAL,22,2022-23,JaVale McGee,C-F,J. McGee
DAL,22,2022-23,Justin Holiday,F-G,J. Holiday
