mover_id,player_id,player,f1,f2,yy1,yy2,gap_seasons,dest_fr,self_sim,decoy_sim,delta
101108_PHX22_GSW23,101108,C. Paul,PHX,GSW,22,23,0,GSW,0.20448751132001375,0.03410457276590356,0.17038293855411019
101108_GSW23_SAS24,101108,C. Paul,GSW,SAS,23,24,0,SAS,0.20449920038243707,0.12873663114766298,0.07576256923477409
1626145_MEM22_WAS23,1626145,T. Jones,MEM,WAS,22,23,0,WAS,-0.5537906268900845,-0.009128752804574935,-0.5446618740855096
1626145_WAS23_PHX24,1626145,T. Jones,WAS,PHX,23,24,0,PHX,-0.2806129173670385,-0.16127889402398493,-0.11933402334305354
1626153_WAS23_MIA23,1626153,D. Wright,WAS,MIA,23,23,0,MIA,-0.660483526603025,0.05336609322945233,-0.7138496198324773
1626153_MIA23_MIL24,1626153,D. Wright,MIA,MIL,23,24,0,MIL,0.13948097096438283,-0.1392958757900253,0.27877684675440817
1626156_MIN22_LAL22,1626156,D. Russell,MIN,LAL,22,22,0,LAL,0.5254890806662927,0.2617281018835223,0.26376097878277044
1626156_LAL24_BKN24,1626156,D. Russell,LAL,BKN,24,24,0,BKN,0.39813538242033236,-0.062383055433806435,0.4605184378541388
1626157_MIN23_NYK24,1626157,K. Towns,MIN,NYK,23,24,0,NYK,0.01771763740650475,-0.01679451829285026,0.03451215569935501
1626158_SAC22_WAS23,1626158,R. Holmes,SAC,WAS,22,23,0,WAS,0.7770789187301336,0.14711658603849387,0.6299623326916397
1626162_CHA22_PHI23,1626162,K. Oubre Jr.,CHA,PHI,22,23,0,PHI,0.23916724436999456,0.061065176464200864,0.1781020679057937
1626166_PHX22_MIL23,1626166,C. Payne,PHX,MIL,22,23,0,MIL,-0.20332161749172836,-0.22846666734213414,0.025145049850405776
1626166_MIL23_PHI23,1626166,C. Payne,MIL,PHI,23,23,0,PHI,0.0737058301673669,-0.029901652901716175,0.10360748306908307
1626166_PHI23_NYK24,1626166,C. Payne,PHI,NYK,23,24,0,NYK,0.3777983181838575,-0.030041576014883185,0.40783989419874067
1626174_DAL22_LAL23,1626174,C. Wood,DAL,LAL,22,23,0,LAL,0.4175637033888803,0.008426426308372714,0.4091372770805076
1626179_CHA23_MIA23,1626179,T. Rozier,CHA,MIA,23,23,0,MIA,-0.0672094929258204,0.14635664641049262,-0.21356613933631302
1626196_SAS22_NOP22,1626196,J. Richardson,SAS,NOP,22,22,0,NOP,0.4676881376287375,0.08504950201649411,0.3826386356122434
1626196_NOP22_MIA23,1626196,J. Richardson,NOP,MIA,22,23,0,MIA,-0.18596497836589268,-0.40171453945664054,0.21574956109074786
1626204_NOP23_ATL24,1626204,L. Nance Jr.,NOP,ATL,23,24,0,ATL,0.5683926830803167,0.13100434727651333,0.4373883358038033
1626220_BKN23_PHX23,1626220,R. O'Neale,BKN,PHX,23,23,0,PHX,0.5353339004214606,0.48150485526457115,0.05382904515688941
1626224_CLE22_SAS23,1626224,C. Osman,CLE,SAS,22,23,0,SAS,-0.1074936781512314,0.12017763184655343,-0.22767130999778484
1627736_UTA22_LAL22,1627736,M. Beasley,UTA,LAL,22,22,0,LAL,0.7318667845363224,0.7270325645870013,0.004834219949321095
1627736_LAL22_MIL23,1627736,M. Beasley,LAL,MIL,22,23,0,MIL,0.6536642279394972,0.6280180570121517,0.025646170927345446
1627736_MIL23_DET24,1627736,M. Beasley,MIL,DET,23,24,0,DET,0.4571801199214848,0.10564436739634905,0.3515357525251357
1627739_UTA23_LAC24,1627739,K. Dunn,UTA,LAC,23,24,0,LAC,-0.3282610874507557,-0.33909233565577845,0.010831248205022737
1627741_IND23_PHI23,1627741,B. Hield,IND,PHI,23,23,0,PHI,0.7237459506169915,0.4868705513479951,0.23687539926899642
1627741_PHI23_GSW24,1627741,B. Hield,PHI,GSW,23,24,0,GSW,0.24328496365369554,-0.21732726055978374,0.46061222421347925
1627747_CLE24_ATL24,1627747,C. LeVert,CLE,ATL,24,24,0,ATL,0.1763583604815973,-0.2666948129564338,0.44305317343803113
1627749_ATL23_NOP24,1627749,D. Murray,ATL,NOP,23,24,0,NOP,0.628264526205966,0.14431940846972893,0.48394511773623705
1627751_SAS22_TOR22,1627751,J. Poeltl,SAS,TOR,22,22,0,TOR,0.5008642469787249,0.15032244882445234,0.35054179815427255
1627752_MIN22_LAL23,1627752,T. Prince,MIN,LAL,22,23,0,LAL,0.09844744521186208,0.4638664169177426,-0.36541897170588056
1627752_LAL23_MIL24,1627752,T. Prince,LAL,MIL,23,24,0,MIL,0.6186331981156866,0.4692529092196184,0.14938028889606825
1627763_BOS22_POR23,1627763,M. Brogdon,BOS,POR,22,23,0,POR,0.12894185279351852,0.34016633263977997,-0.21122447984626144
1627763_POR23_WAS24,1627763,M. Brogdon,POR,WAS,23,24,0,WAS,0.33945710436159826,0.2808201838931186,0.05863692046847968
1627777_PHI22_CLE23,1627777,G. Niang,PHI,CLE,22,23,0,CLE,0.1455061815731931,0.3929788008142029,-0.2474726192410098
1627777_CLE24_ATL24,1627777,G. Niang,CLE,ATL,24,24,0,ATL,0.3557895694748575,0.23356838984138645,0.12222117963347107
1627783_TOR23_IND23,1627783,P. Siakam,TOR,IND,23,23,0,IND,0.2611196795387269,0.08819447526342802,0.17292520427529887
1627827_DAL22_BKN22,1627827,D. Finney-Smith,DAL,BKN,22,22,0,BKN,0.7092301948319031,0.690043980409488,0.019186214422415082
1627827_BKN24_LAL24,1627827,D. Finney-Smith,BKN,LAL,24,24,0,LAL,0.5837321049198746,0.2394126322457569,0.34431947267411767
1627832_TOR22_HOU23,1627832,F. VanVleet,TOR,HOU,22,23,0,HOU,0.44507024921706406,-0.12108311804370782,0.5661533672607719
1627884_CHI22_DAL23,1627884,D. Jones Jr.,CHI,DAL,22,23,0,DAL,0.2126857062206798,0.04525855271830827,0.16742715350237153
1627884_DAL23_LAC24,1627884,D. Jones Jr.,DAL,LAC,23,24,0,LAC,0.5270846755692379,0.07396587027962545,0.45311880528961246
1627936_CHI23_OKC24,1627936,A. Caruso,CHI,OKC,23,24,0,OKC,0.41130250082370795,0.0976953527259162,0.3136071480977918
1628365_ORL23_SAC24,1628365,M. Fultz,ORL,SAC,23,24,0,SAC,-0.12231121556643046,0.18810166443264742,-0.31041287999907785
1628368_SAC24_SAS24,1628368,D. Fox,SAC,SAS,24,24,0,SAS,0.5191833377178336,0.38122282440990973,0.13796051330792392
1628372_CHA22_BKN23,1628372,D. Smith Jr.,CHA,BKN,22,23,0,BKN,-0.11636195994521632,0.20976479884530072,-0.32612675879051706
1628379_LAC22_MEM22,1628379,L. Kennard,LAC,MEM,22,22,0,MEM,-0.23032695344969176,-0.35409434223344877,0.12376738878375701
1628380_SAS24_CHI24,1628380,Z. Collins,SAS,CHI,24,24,0,CHI,0.03042950547453633,-0.07575491704388682,0.10618442251842314
1628381_ATL22_UTA23,1628381,J. Collins,ATL,UTA,22,23,0,UTA,0.38482460787994244,-0.7512102902105975,1.13603489809054
1628384_TOR23_NYK23,1628384,O. Anunoby,TOR,NYK,23,23,0,NYK,0.1982129530326913,0.3838842296673024,-0.1856712766346111
1628392_NYK23_OKC24,1628392,I. Hartenstein,NYK,OKC,23,24,0,OKC,0.77983868398076,0.006593137548319814,0.7732455464324401
1628398_WAS24_MIL24,1628398,K. Kuzma,WAS,MIL,24,24,0,MIL,-0.10274128907644586,-0.3260477655868142,0.22330647651036833
1628404_POR22_NYK22,1628404,J. Hart,POR,NYK,22,22,0,NYK,0.32501439533583054,0.02199034264457575,0.30302405269125476
1628415_MEM22_HOU23,1628415,D. Brooks,MEM,HOU,22,23,0,HOU,-0.28643071805610215,-0.017216339199567825,-0.2692143788565343
1628418_LAL22_DEN22,1628418,T. Bryant,LAL,DEN,22,22,0,DEN,-0.25633061390163037,-0.1938900211755895,-0.062440592726040856
