player,player_id,mover_id,gap_seasons,position,position_detail,origin_team,origin_season,dest_team,dest_season,move,origin_role,dest_role,origin_top_play,dest_top_play,origin_init,dest_init,origin_usage,dest_usage,origin_influence,dest_influence,origin_influence_resid,dest_influence_resid,origin_archetype,dest_archetype,self_sim,decoy_sim,delta,portable
J. Collins,1628381,1628381_ATL22_UTA23,0,F/C,F-C,ATL,2022-23,UTA,2023-24,ATL 2022-23 → UTA 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,745,753,0.093,0.098,0.005,0.003,-0.018,-0.022,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.385,-0.751,1.136,YES
O. Robinson,1631115,1631115_MIA23_TOR24,0,C,C,MIA,2023-24,TOR,2024-25,MIA 2023-24 → TOR 2024-25,Post hub,PnR ball-handler / hub,POST_UP,PNR,76,204,0.01,0.027,0.005,0.011,-0.006,-0.0,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.715,-0.243,0.958,YES
J. Hayes,1629637,1629637_NOP22_LAL23,0,F/C,C-F,NOP,2022-23,LAL,2023-24,NOP 2022-23 → LAL 2023-24,Cutter / connector,Cutter / connector,CUT,CUT,159,201,0.021,0.026,0.024,0.054,0.012,0.042,Peripheral / replaceable wiring,Standard role occupant,0.659,-0.268,0.928,YES
S. Curry,203552,203552_BKN22_DAL23,0,G,G,BKN,2022-23,DAL,2023-24,BKN 2022-23 → DAL 2023-24,Pull-up scorer,Spot-up / off-ball,PULL_UP,SPOT_UP,458,136,0.061,0.018,0.004,0.004,-0.012,-0.007,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.797,-0.108,0.905,YES
D. Mitchell,1630558,1630558_SAC23_TOR24,0,G,G,SAC,2023-24,TOR,2024-25,SAC 2023-24 → TOR 2024-25,Spot-up / off-ball,Driving creator,SPOT_UP,DRIVE,320,274,0.042,0.037,0.005,0.008,-0.008,-0.004,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.471,-0.403,0.873,YES
I. Hartenstein,1628392,1628392_NYK23_OKC24,0,F/C,C-F,NYK,2023-24,OKC,2024-25,NYK 2023-24 → OKC 2024-25,PnR ball-handler / hub,PnR ball-handler / hub,PNR,PNR,339,450,0.046,0.061,0.047,0.182,0.034,0.167,Standard role occupant,Hidden structural hub,0.78,0.007,0.773,YES
P. Baldwin Jr.,1631116,1631116_GSW22_WAS23,0,F/Wing,F,GSW,2022-23,WAS,2023-24,GSW 2022-23 → WAS 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,112,170,0.014,0.021,0.003,0.017,-0.008,0.006,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.797,0.039,0.758,YES
D. Schröder,203471,203471_LAL22_TOR23,0,G,G,LAL,2022-23,TOR,2023-24,LAL 2022-23 → TOR 2023-24,Driving creator,Driving creator,DRIVE,DRIVE,752,575,0.096,0.076,0.003,0.004,-0.021,-0.015,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.667,-0.057,0.723,YES
J. Robinson-Earl,1630526,1630526_OKC22_NOP23,0,F/Wing,F,OKC,2022-23,NOP,2023-24,OKC 2022-23 → NOP 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,219,87,0.028,0.011,0.008,0.001,-0.003,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.758,0.047,0.711,YES
K. Porziņģis,204001,204001_WAS22_BOS23,0,F/C,F-C,WAS,2022-23,BOS,2023-24,WAS 2022-23 → BOS 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,1152,821,0.151,0.108,0.073,0.038,0.027,0.01,Standard role occupant,Peripheral / replaceable wiring,0.777,0.08,0.697,YES
T. Watford,1630570,1630570_POR22_BKN23,0,F/Wing,F,POR,2022-23,BKN,2023-24,POR 2022-23 → BKN 2023-24,Driving creator,Driving creator,DRIVE,DRIVE,363,345,0.048,0.046,0.005,0.002,-0.009,-0.011,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.274,-0.408,0.682,YES
