role_class,play_type,mean_delta_pp,sd_pp,n_ts
CONNECTOR,TRANSITION,-0.448,1.143,73
CONNECTOR,PNR,0.98,2.593,73
CONNECTOR,DRIVE,-0.542,1.956,73
CONNECTOR,POST_UP,-0.12,1.741,73
CONNECTOR,SPOT_UP,-1.248,2.817,73
CONNECTOR,CUT,1.353,1.434,73
CONNECTOR,PUTBACK,0.148,0.655,73
CONNECTOR,PULL_UP,-0.122,1.925,73
ORGANIZER,TRANSITION,-0.495,1.47,58
ORGANIZER,PNR,0.955,1.578,58
ORGANIZER,DRIVE,-1.309,3.318,58
ORGANIZER,POST_UP,2.331,2.435,58
ORGANIZER,SPOT_UP,-1.023,2.461,58
ORGANIZER,CUT,0.072,1.6,58
ORGANIZER,PUTBACK,-0.041,0.578,58
ORGANIZER,PULL_UP,-0.49,2.497,58
TERMINAL,TRANSITION,-0.197,2.201,52
TERMINAL,PNR,1.168,2.75,52
TERMINAL,DRIVE,0.931,3.051,52
TERMINAL,POST_UP,0.223,2.283,52
TERMINAL,SPOT_UP,-1.108,2.971,52
TERMINAL,CUT,0.119,1.497,52
TERMINAL,PUTBACK,-0.067,0.621,52
TERMINAL,PULL_UP,-1.069,3.015,52
OCCUPANT,TRANSITION,0.459,1.291,60
OCCUPANT,PNR,-0.7,2.125,60
OCCUPANT,DRIVE,0.289,2.398,60
OCCUPANT,POST_UP,-0.77,1.545,60
OCCUPANT,SPOT_UP,1.077,2.43,60
OCCUPANT,CUT,-0.305,1.194,60
OCCUPANT,PUTBACK,0.02,0.579,60
OCCUPANT,PULL_UP,-0.07,1.816,60
