key,tri,yy,player_id,player,u,Lcos,Lfrob,abbrev,season,full_name,gp,mpg,ppg,apg,usg_pct,ast_pct,net_rating,touches,front_ct_touches,position,u_resid
BKN_25,BKN,25,1629651,N. Claxton,0.0860070099757347,0.0608012534433063,325.3745837304636,N. Claxton,2025-26,Nic Claxton,69.0,27.8,11.7,3.7,0.175,0.216,-12.9,48.5,34.3,C,0.03982089853980965
BKN_25,BKN,25,1630592,J. Wilson,0.0409813966028579,0.0168434543289404,155.31545158265138,J. Wilson,2025-26,Jalen Wilson,54.0,15.9,6.4,0.9,0.177,0.098,-10.9,22.6,12.8,F,0.004193511111234954
BOS_25,BOS,25,1629674,N. Queta,0.0629812981298129,0.1704528883051438,257.5673186319751,N. Queta,2025-26,Neemias Queta,76.0,25.3,10.2,1.7,0.145,0.091,13.2,35.0,22.0,C,0.1546484757378722
BOS_25,BOS,25,1630573,S. Hauser,0.0772827282728272,0.022210886213176,89.19352978454252,S. Hauser,2025-26,Sam Hauser,78.0,24.8,9.2,1.5,0.141,0.077,8.8,35.5,19.6,F,0.00341723718788969
CHA_25,CHA,25,1641750,R. Kalkbrenner,0.0339642905087931,0.0204120258927836,178.83581057998805,R. Kalkbrenner,2025-26,Ryan Kalkbrenner,69.0,21.4,7.6,0.8,0.113,0.053,1.1,23.2,14.5,C,0.008400108194617608
CHA_25,CHA,25,1631217,M. Diabaté,0.0456437105651765,0.0142622803935924,157.49894983379076,M. Diabaté,2025-26,Moussa Diabaté,73.0,26.0,7.9,1.9,0.112,0.099,10.5,36.4,20.8,F,0.0010899709696360269
DAL_25,DAL,25,1628963,M. Bagley III,0.0186240973014063,0.0224228861400705,132.0380985447675,M. Bagley III,2025-26,Marvin Bagley III,60.0,20.0,10.5,1.4,0.18,0.107,-9.1,30.6,18.1,F,0.01118570074810556
DAL_25,DAL,25,1629655,D. Gafford,0.041049030786773,0.0162576285291615,121.1653274331858,D. Gafford,2025-26,Daniel Gafford,55.0,21.7,9.5,1.1,0.151,0.071,-7.1,28.5,15.5,F-C,0.003600669403436294
DEN_25,DEN,25,203501,T. Hardaway Jr.,0.1073703366696997,0.0364783008038753,83.46442198731545,T. Hardaway Jr.,2025-26,Tim Hardaway Jr.,80.0,26.6,13.5,1.4,0.177,0.07,4.5,31.3,19.2,G-F,0.008981215907294903
DEN_25,DEN,25,1631128,C. Braun,0.0512153906148446,0.0220912457581767,65.01713607371619,C. Braun,2025-26,Christian Braun,44.0,31.8,12.0,2.7,0.142,0.108,10.1,47.5,24.8,G,0.00819159434914013
DEN_25,DEN,25,1629661,C. Johnson,0.0656440920317171,0.0195472517691536,62.411610362819005,C. Johnson,2025-26,Cameron Johnson,54.0,30.5,12.2,2.4,0.144,0.098,9.5,37.3,23.7,F,0.003242301752403337
DEN_25,DEN,25,1642461,S. Jones,0.0349668529832315,0.0159225153158785,52.44958196765973,S. Jones,2025-26,Spencer Jones,64.0,22.1,5.5,0.8,0.097,0.047,1.6,17.0,9.7,F,0.003830342177418452
DEN_25,DEN,25,1629618,J. Pickett,0.0334069933705966,0.0144055989372209,53.289694992919095,J. Pickett,2025-26,Jalen Pickett,50.0,16.1,5.2,2.3,0.148,0.208,-0.4,29.1,13.5,G,0.0024367213889746296
DET_25,DET,25,1629130,D. Robinson,0.0930537352555701,0.0435901571742858,98.12522942069418,D. Robinson,2025-26,Duncan Robinson,77.0,27.4,12.2,2.1,0.152,0.094,11.3,32.5,23.8,F,0.020642644466774475
DET_25,DET,25,1630191,I. Stewart,0.0513761467889908,0.0168720493937581,82.81596636729391,I. Stewart,2025-26,Isaiah Stewart,58.0,22.7,10.0,1.1,0.164,0.073,1.8,25.6,17.2,F-C,0.0029497463742735024
DET_25,DET,25,1629750,J. Green,0.0554390563564875,0.0145360246530565,52.54469583172528,J. Green,2025-26,Javonte Green,82.0,17.6,6.9,0.7,0.143,0.052,7.6,24.3,12.4,G,1.0205648778698409e-05
GSW_25,GSW,25,1627780,G. Payton II,0.053349218956844,0.033362550146645,89.92344442288302,G. Payton II,2025-26,Gary Payton II,73.0,15.6,7.5,1.7,0.177,0.164,-2.3,28.8,17.9,G,0.019154616354032247
GSW_25,GSW,25,1642954,W. Richard,0.0403759597564204,0.0186216284141053,56.566129396371466,W. Richard,2025-26,Will Richard,69.0,20.0,6.4,1.3,0.123,0.094,-3.3,24.4,16.0,G,0.0060337523339144186
GSW_25,GSW,25,201143,A. Horford,0.0424940428911834,0.0158871177412694,62.08341017474621,A. Horford,2025-26,Al Horford,45.0,21.5,8.3,2.6,0.163,0.171,-0.9,43.3,27.3,C-F,0.003076311131846773
LAC_25,LAC,25,201572,B. Lopez,0.0752469887670862,0.0199529674583505,76.6541004659897,B. Lopez,2025-26,Brook Lopez,75.0,21.8,8.5,1.3,0.171,0.087,1.2,25.7,17.2,C,0.0016299658704321748
LAL_25,LAL,25,1629637,J. Hayes,0.0313362782992821,0.0249126716744683,98.5379719719028,J. Hayes,2025-26,Jaxson Hayes,66.0,18.3,7.5,0.9,0.124,0.071,2.4,20.4,12.2,C-F,0.013093877172984804
MEM_25,MEM,25,203484,K. Caldwell-Pope,0.0537593020272004,0.0339371832763422,57.50269144576882,K. Caldwell-Pope,2025-26,Kentavious Caldwell-Pope,51.0,21.3,8.4,2.7,0.173,0.181,-4.5,40.4,23.8,G,0.01966811712535034
MIA_25,MIA,25,1642276,K. Ware,0.0657748049052396,0.3524552357516565,185.72767426605105,K. Ware,2025-26,Kel'el Ware,77.0,22.1,11.1,0.7,0.174,0.046,-1.0,30.7,14.9,C,0.33612505487497546
MIL_25,MIL,25,1630579,J. Sims,0.0251046025104602,0.1392995465630524,320.2479476624251,J. Sims,2025-26,Jericho Sims,67.0,19.7,5.0,1.6,0.095,0.109,-10.1,29.5,16.3,C,0.1278388773767808
