player,season,team,position,gp,mpg,usage,structural_influence,influence_residual,usage_percentile,influence_percentile,role_classification,canonical_archetype,influence_cv
R. Gobert,2022-23,MIN,C,70.0,30.7,0.161,0.7805032845213218,0.7626269522653625,34.41558441558442,100.0,CONNECTOR / HUB,,0.6281056202924915
R. Gobert,2023-24,MIN,C,76.0,34.1,0.152,0.6197062463896956,0.598455483536847,26.56926406926407,99.89177489177489,CONNECTOR / HUB,,0.6281056202924915
R. Gobert,2024-25,MIN,C,72.0,33.2,0.129,0.5108862830941341,0.49491648401150456,10.876623376623376,99.78354978354979,CONNECTOR / HUB,CONNECTOR / HUB,0.6281056202924915
D. Gafford,2022-23,WAS,F-C,78.0,20.6,0.146,0.4108602821575936,0.3970993866892927,22.023809523809522,99.67532467532467,CONNECTOR / HUB,CONNECTOR / HUB,1.2755270812969108
K. Ware,2024-25,MIA,C,64.0,22.2,0.169,0.2825741860927192,0.2681270224005442,40.909090909090914,99.13419913419914,CONNECTOR / HUB,,0.15562543211542082
J. Duren,2022-23,DET,C,67.0,24.9,0.139,0.2398630700210248,0.2266654041052354,16.504329004329005,98.7012987012987,CONNECTOR / HUB,CONNECTOR / HUB,0.7901324734163144
W. Kessler,2023-24,UTA,C,64.0,23.3,0.127,0.2391867716151694,0.22666066781654637,9.848484848484848,98.59307359307358,CONNECTOR / HUB,CONNECTOR / HUB,1.1701973280387763
J. Poeltl,2023-24,TOR,C,50.0,26.4,0.16,0.217306701201067,0.20347628647754842,33.22510822510822,98.26839826839827,CONNECTOR / HUB,,0.8930150405104541
I. Jackson,2022-23,IND,F,63.0,16.5,0.165,0.2029695916284357,0.19071032268402638,37.71645021645021,97.94372294372295,CONNECTOR / HUB,,1.3037550879913125
I. Hartenstein,2024-25,OKC,C-F,57.0,27.9,0.165,0.1823036073141152,0.16686944243710763,37.71645021645021,97.51082251082252,CONNECTOR / HUB,,0.9008540847865435
J. Duren,2024-25,DET,C,78.0,26.1,0.161,0.1721338288700984,0.1545616413618991,34.41558441558442,97.40259740259741,CONNECTOR / HUB,,0.7901324734163144
D. Powell,2022-23,DAL,F-C,76.0,19.2,0.123,0.1463174827841737,0.1335208595768134,7.954545454545454,96.96969696969697,CONNECTOR / HUB,CONNECTOR / HUB,1.8336688786496498
