player,player_id,mover_id,gap_seasons,position,position_detail,origin_team,origin_season,dest_team,dest_season,move,origin_role,dest_role,origin_top_play,dest_top_play,origin_init,dest_init,origin_usage,dest_usage,origin_influence,dest_influence,origin_influence_resid,dest_influence_resid,origin_archetype,dest_archetype,self_sim,decoy_sim,delta,portable,origin_tri,stability,travel_score,fit_score,decoy_sim_wtd,decoy_sim_max,blocker_mpg,n_blocker_pool,crowding_score,travel_hi,fit_hi,quadrant
J. Collins,1628381,1628381_ATL22_UTA23,0,F/C,F-C,ATL,2022-23,UTA,2023-24,ATL 2022-23 → UTA 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,745,753,0.093,0.098,0.005,0.003,-0.018,-0.022,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.385,-0.751,1.136,YES,ATL,0.21341251247017,0.1333120221559853,0.751,-0.5852283697578196,-0.14823469422485486,33.1,10,0.5852283697578196,True,True,additive
O. Robinson,1631115,1631115_MIA23_TOR24,0,C,C,MIA,2023-24,TOR,2024-25,MIA 2023-24 → TOR 2024-25,Post hub,PnR ball-handler / hub,POST_UP,PNR,76,204,0.01,0.027,0.005,0.011,-0.006,-0.0,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.715,-0.243,0.958,YES,MIA,-0.7588994532970871,-0.09729294306813385,0.243,0.46076369193609834,0.7252466030140454,32.8,10,-0.46076369193609834,False,True,missed-need
J. Hayes,1629637,1629637_NOP22_LAL23,0,F/C,C-F,NOP,2022-23,LAL,2023-24,NOP 2022-23 → LAL 2023-24,Cutter / connector,Cutter / connector,CUT,CUT,159,201,0.021,0.026,0.024,0.054,0.012,0.042,Peripheral / replaceable wiring,Standard role occupant,0.659,-0.268,0.928,YES,NOP,0.21341251247017,0.10412890744422021,0.268,-0.25979466847029853,0.25778498724151466,35.5,10,0.25979466847029853,True,True,additive
S. Curry,203552,203552_BKN22_DAL23,0,G,G,BKN,2022-23,DAL,2023-24,BKN 2022-23 → DAL 2023-24,Pull-up scorer,Spot-up / off-ball,PULL_UP,SPOT_UP,458,136,0.061,0.018,0.004,0.004,-0.012,-0.007,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.797,-0.108,0.905,YES,BKN,0.21341251247017,0.1080338445043052,0.108,0.07457759477645685,0.7582038233431675,37.5,10,-0.07457759477645685,True,True,additive
D. Mitchell,1630558,1630558_SAC23_TOR24,0,G,G,SAC,2023-24,TOR,2024-25,SAC 2023-24 → TOR 2024-25,Spot-up / off-ball,Driving creator,SPOT_UP,DRIVE,320,274,0.042,0.037,0.005,0.008,-0.008,-0.004,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.471,-0.403,0.873,YES,SAC,0.08691813695081303,0.08060471208857634,0.403,0.09818294556863025,0.2558403957379189,32.2,10,-0.09818294556863025,False,True,missed-need
I. Hartenstein,1628392,1628392_NYK23_OKC24,0,F/C,C-F,NYK,2023-24,OKC,2024-25,NYK 2023-24 → OKC 2024-25,PnR ball-handler / hub,PnR ball-handler / hub,PNR,PNR,339,450,0.046,0.061,0.047,0.182,0.034,0.167,Standard role occupant,Hidden structural hub,0.78,0.007,0.773,YES,NYK,0.19087966079070795,0.14691351721291057,-0.007,0.03684828007462112,0.1912712527931728,34.2,10,-0.03684828007462112,True,True,additive
P. Baldwin Jr.,1631116,1631116_GSW22_WAS23,0,F/Wing,F,GSW,2022-23,WAS,2023-24,GSW 2022-23 → WAS 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,112,170,0.014,0.021,0.003,0.017,-0.008,0.006,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.797,0.039,0.758,YES,GSW,0.21341251247017,0.07065088018698062,-0.039,0.12330364344881022,0.8475120521218189,27.2,10,-0.12330364344881022,False,True,missed-need
D. Schröder,203471,203471_LAL22_TOR23,0,G,G,LAL,2022-23,TOR,2023-24,LAL 2022-23 → TOR 2023-24,Driving creator,Driving creator,DRIVE,DRIVE,752,575,0.096,0.076,0.003,0.004,-0.021,-0.015,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.667,-0.057,0.723,YES,LAL,0.21341251247017,0.1299258138965338,0.057,-0.016202570447167816,0.48448780100029765,31.7,10,0.016202570447167816,True,True,additive
J. Robinson-Earl,1630526,1630526_OKC22_NOP23,0,F/Wing,F,OKC,2022-23,NOP,2023-24,OKC 2022-23 → NOP 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,219,87,0.028,0.011,0.008,0.001,-0.003,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.758,0.047,0.711,YES,OKC,0.21341251247017,0.08904628315182994,-0.047,0.06189060711325075,0.6105249377483924,32.7,10,-0.06189060711325075,False,True,missed-need
K. Porziņģis,204001,204001_WAS22_BOS23,0,F/C,F-C,WAS,2022-23,BOS,2023-24,WAS 2022-23 → BOS 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,1152,821,0.151,0.108,0.073,0.038,0.027,0.01,Standard role occupant,Peripheral / replaceable wiring,0.777,0.08,0.697,YES,WAS,0.21341251247017,0.24580735297039447,-0.08,0.15861678053685496,0.363602394824955,35.7,10,-0.15861678053685496,True,False,redundant
